127.0.0.1 - - [10/May/2022:14:08:48 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [10/May/2022:14:10:17 +0900] "GET /YGCbook/ HTTP/1.1" 200 8865
0:0:0:0:0:0:0:1 - - [10/May/2022:14:10:17 +0900] "GET /YGCbook/images/logo.gif HTTP/1.1" 200 15768
0:0:0:0:0:0:0:1 - - [10/May/2022:14:10:17 +0900] "GET /YGCbook/images/dd-10.gif HTTP/1.1" 200 414
0:0:0:0:0:0:0:1 - - [10/May/2022:14:10:17 +0900] "GET /YGCbook/images/daodu04.gif HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [10/May/2022:14:10:17 +0900] "GET /YGCbook/images/daodu03.gif HTTP/1.1" 200 666
0:0:0:0:0:0:0:1 - - [10/May/2022:14:10:17 +0900] "GET /YGCbook/images/dd00-h.gif HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - - [10/May/2022:14:10:17 +0900] "GET /YGCbook/images/daodu05.gif HTTP/1.1" 200 1104
0:0:0:0:0:0:0:1 - - [10/May/2022:14:10:17 +0900] "GET /YGCbook/images/daodu34.gif HTTP/1.1" 200 2205
0:0:0:0:0:0:0:1 - - [10/May/2022:14:10:17 +0900] "GET /YGCbook/images/daodu02.gif HTTP/1.1" 200 751
0:0:0:0:0:0:0:1 - - [10/May/2022:14:10:17 +0900] "GET /YGCbook/images/daodu08.gif HTTP/1.1" 200 2941
0:0:0:0:0:0:0:1 - - [10/May/2022:14:10:17 +0900] "GET /YGCbook/images/a1.gif HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [10/May/2022:14:10:17 +0900] "GET /YGCbook/images/daodu09.gif HTTP/1.1" 200 1060
0:0:0:0:0:0:0:1 - - [10/May/2022:14:10:17 +0900] "GET /YGCbook/images/daodu14.gif HTTP/1.1" 200 1297
0:0:0:0:0:0:0:1 - - [10/May/2022:14:10:17 +0900] "GET /YGCbook/images/wenhua06.gif HTTP/1.1" 200 732
0:0:0:0:0:0:0:1 - - [10/May/2022:14:10:17 +0900] "GET /YGCbook/images/wenhua05.gif HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [10/May/2022:14:10:17 +0900] "GET /YGCbook/images/a2.gif HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [10/May/2022:14:10:17 +0900] "GET /YGCbook/images/a4.gif HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [10/May/2022:14:10:17 +0900] "GET /YGCbook/images/changxiao09.gif HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [10/May/2022:14:10:17 +0900] "GET /YGCbook/images/reset.png HTTP/1.1" 200 2915
0:0:0:0:0:0:0:1 - - [10/May/2022:14:10:17 +0900] "GET /YGCbook/images/dd-m2.gif HTTP/1.1" 200 81
0:0:0:0:0:0:0:1 - - [10/May/2022:14:10:17 +0900] "GET /YGCbook/images/dd-m3.gif HTTP/1.1" 200 82
0:0:0:0:0:0:0:1 - - [10/May/2022:14:10:17 +0900] "GET /YGCbook/images/daodu18.gif HTTP/1.1" 200 528
0:0:0:0:0:0:0:1 - - [10/May/2022:14:10:17 +0900] "GET /YGCbook/images/dd-m4.gif HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [10/May/2022:14:10:17 +0900] "GET /YGCbook/images/dd-m1.gif HTTP/1.1" 200 644
0:0:0:0:0:0:0:1 - - [10/May/2022:14:10:17 +0900] "GET /YGCbook/images/dd-m15.gif HTTP/1.1" 200 839
0:0:0:0:0:0:0:1 - - [10/May/2022:14:10:17 +0900] "GET /YGCbook/images/dd-m08.gif HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [10/May/2022:14:10:17 +0900] "GET /YGCbook/images/daodu12.gif HTTP/1.1" 200 67
0:0:0:0:0:0:0:1 - - [10/May/2022:14:10:17 +0900] "GET /YGCbook/images/a3.gif HTTP/1.1" 200 89
0:0:0:0:0:0:0:1 - - [10/May/2022:14:10:17 +0900] "GET /YGCbook/images/dd-m17.gif HTTP/1.1" 200 901
0:0:0:0:0:0:0:1 - - [10/May/2022:14:10:17 +0900] "GET /YGCbook/images/dd-m6.gif HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [10/May/2022:14:10:17 +0900] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [10/May/2022:14:19:23 +0900] "GET /YGCbook/ HTTP/1.1" 200 32468
0:0:0:0:0:0:0:1 - - [10/May/2022:14:19:23 +0900] "GET /YGCbook/images/daodu37.gif HTTP/1.1" 200 3321
0:0:0:0:0:0:0:1 - - [10/May/2022:14:19:23 +0900] "GET /YGCbook/images/3297030.gif HTTP/1.1" 200 3305
0:0:0:0:0:0:0:1 - - [10/May/2022:14:19:23 +0900] "GET /YGCbook/images/point.gif HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [10/May/2022:14:19:23 +0900] "GET /YGCbook/images/like.png HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [10/May/2022:14:19:23 +0900] "GET /YGCbook/images/3297036.gif HTTP/1.1" 200 20636
0:0:0:0:0:0:0:1 - - [10/May/2022:14:19:23 +0900] "GET /YGCbook/images/ff.gif HTTP/1.1" 200 33740
0:0:0:0:0:0:0:1 - - [10/May/2022:14:19:23 +0900] "GET /YGCbook/images/dd-m13.gif HTTP/1.1" 200 1077
0:0:0:0:0:0:0:1 - - [10/May/2022:14:19:23 +0900] "GET /YGCbook/images/3297041.gif HTTP/1.1" 200 179680
0:0:0:0:0:0:0:1 - - [10/May/2022:14:19:23 +0900] "GET /YGCbook/images/3297038.gif HTTP/1.1" 200 10506
0:0:0:0:0:0:0:1 - - [10/May/2022:14:19:23 +0900] "GET /YGCbook/images/xc.gif HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [10/May/2022:14:19:23 +0900] "GET /YGCbook/images/dd-m12.gif HTTP/1.1" 200 1100
0:0:0:0:0:0:0:1 - - [10/May/2022:14:19:23 +0900] "GET /YGCbook/images/dd-m18.gif HTTP/1.1" 200 2762
0:0:0:0:0:0:0:1 - - [10/May/2022:14:19:23 +0900] "GET /YGCbook/images/daodu21.gif HTTP/1.1" 200 3289
0:0:0:0:0:0:0:1 - - [10/May/2022:14:19:23 +0900] "GET /YGCbook/images/dd-m14.gif HTTP/1.1" 200 886
0:0:0:0:0:0:0:1 - - [10/May/2022:14:19:23 +0900] "GET /YGCbook/images/dd-008.gif HTTP/1.1" 200 10570
0:0:0:0:0:0:0:1 - - [10/May/2022:14:19:23 +0900] "GET /YGCbook/images/dd-m16.gif HTTP/1.1" 200 2359
0:0:0:0:0:0:0:1 - - [10/May/2022:14:19:23 +0900] "GET /YGCbook/images/dd-m19.gif HTTP/1.1" 200 1116
0:0:0:0:0:0:0:1 - - [10/May/2022:14:19:23 +0900] "GET /YGCbook/images/like.png HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [10/May/2022:14:19:23 +0900] "GET /YGCbook/images/dd-m20.gif HTTP/1.1" 200 3367
0:0:0:0:0:0:0:1 - - [10/May/2022:14:19:23 +0900] "GET /YGCbook/images/daodu36.gif HTTP/1.1" 200 20391
0:0:0:0:0:0:0:1 - - [10/May/2022:14:19:23 +0900] "GET /YGCbook/images/dd-009.gif HTTP/1.1" 200 1452
0:0:0:0:0:0:0:1 - - [10/May/2022:14:19:23 +0900] "GET /YGCbook/images/daodu33.gif HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [10/May/2022:14:19:23 +0900] "GET /YGCbook/images/dd-m09.gif HTTP/1.1" 200 57
